BeginAnalysis,,
_AnalysisName," ""Run101620-2_Material Y_Analysis 94624.mss""",
_MethodName," ""Method 123468_06-Peel Strength.msm""",
InitialSpeed,305,"  ""mm/min"""
DataRate,50,"  ""Hz"""
EndPoint,40,"  ""mm"""
GageLength,50,"  ""mm"""
PeelEndExt,40,"  ""mm"""
StartPoint,3,"  ""mm"""
BeginSample,,
AverageLoad,1.07,"  ""N"""
AvgNPeaks,2.66,"  ""N"""
PeakLoad,3.04,"  ""N"""
PeelEnd,402,"  """""
PeelStart,38,"  """""
BeginData,,
_Load, SlackExt,
N," ""mm""",
0.9,32.181,
0.92,32.282,
0.92,32.383,
0.92,32.486,
0.93,32.587,
0.94,32.689,
0.94,32.791,
0.93,32.892,
0.9,32.994,
0.91,33.096,
0.93,33.197,
0.95,33.299,
0.9,33.401,
0.72,33.502,
0.57,33.604,
0.51,33.706,
0.5,33.808,
0.51,33.91,
0.51,34.011,
0.5,34.112,
0.49,34.215,
0.48,34.315,
0.44,34.417,
0.42,34.52,
0.42,34.62,
0.4,34.723,
0.39,34.824,
0.4,34.925,
0.41,35.028,
0.41,35.129,
0.38,35.231,
0.36,35.333,
0.37,35.434,
0.37,35.536,
0.37,35.638,
0.38,35.739,
0.37,35.841,
0.36,35.943,
0.33,36.044,
0.31,36.146,
0.31,36.248,
0.31,36.349,
0.31,36.451,
0.32,36.553,
0.32,36.654,
0.32,36.756,
0.32,36.857,
0.33,36.959,
0.33,37.061,
0.34,37.162,
0.34,37.264,
0.34,37.366,
0.34,37.467,
0.34,37.569,
0.34,37.672,
0.35,37.772,
0.35,37.874,
0.36,37.976,
0.36,38.077,
0.35,38.18,
0.36,38.281,
0.35,38.382,
0.36,38.484,
0.36,38.586,
0.36,38.687,
0.37,38.79,
0.37,38.891,
0.37,38.993,
0.37,39.095,
0.38,39.195,
0.37,39.297,
0.33,39.4,
0.2,39.5,
0.1,39.602,
0.09,39.704,
0.09,39.805,
0.08,39.908,
0.05,40.009,
0.02,40.11,
0.01,40.213,
0.01,40.314,
0.01,40.416,
0.01,40.518,
0.01,40.619,
0.01,40.721,
0.02,40.823,
0.02,40.924,
0.02,41.026,
0.02,41.128,
0.02,41.228,
0.02,41.331,
0.02,41.432,
0.02,41.534,
0.02,41.636,
0.03,41.738,
0.02,41.839,
0.02,41.941,
0.03,42.042,
0.03,42.144,
0.03,42.246,
0.03,42.347,
0.03,42.449,
0.03,42.551,
0.03,42.652,
0.03,42.754,
0.03,42.856,
0.03,42.957,
0.02,43.059,
0.02,43.161,
0.01,43.262,
0.01,43.365,
0.02,43.466,
0.01,43.567,
0.02,43.669,
0.02,43.771,
0.02,43.872,
0.02,43.975,
0.02,44.075,
0.02,44.178,
0.02,44.28,
0.02,44.381,
0.02,44.482,
0.03,44.585,
0.03,44.685,
0.02,44.788,
0.03,44.889,
0.02,44.99,
0.01,45.042,
0.01,45.042,
EndData,,
EndSample,,
BeginSample,,
AverageLoad,1.18,"  ""N"""
AvgNPeaks,3.12,"  ""N"""
PeakLoad,3.2,"  ""N"""
PeelEnd,401,"  """""
PeelStart,37,"  """""
BeginData,,
_Load, SlackExt,
N," ""mm""",
0,0.001,
0,0.001,
0,0.001,
0,0.001,
0,0.001,
0,0.005,
0,0.024,
0,0.056,
0.01,0.102,
0.05,0.162,
0.05,0.233,
0.03,0.316,
0.03,0.411,
0.03,0.516,
0.03,0.619,
0.02,0.72,
0.01,0.823,
0.02,0.924,
0.02,1.025,
0.03,1.127,
0.03,1.228,
0.03,1.33,
0.04,1.433,
0.05,1.533,
0.05,1.635,
0.06,1.737,
0.07,1.838,
0.08,1.94,
0.09,2.042,
0.1,2.143,
0.12,2.246,
0.14,2.347,
0.16,2.448,
0.18,2.551,
0.21,2.651,
0.24,2.754,
0.26,2.856,
0.28,2.957,
0.29,3.058,
0.29,3.161,
0.28,3.261,
0.29,3.363,
0.29,3.466,
0.28,3.566,
0.29,3.669,
0.29,3.77,
0.3,3.871,
0.29,3.974,
0.29,4.076,
0.31,4.177,
0.33,4.279,
0.36,4.38,
0.38,4.482,
0.4,4.584,
0.42,4.685,
0.44,4.787,
0.43,4.889,
0.43,4.99,
0.46,5.092,
0.49,5.194,
0.52,5.295,
0.53,5.397,
0.52,5.499,
0.51,5.6,
0.53,5.702,
0.56,5.804,
0.58,5.905,
0.59,6.007,
0.59,6.108,
0.53,6.21,
0.47,6.312,
0.48,6.413,
0.49,6.515,
0.46,6.617,
0.46,6.718,
0.46,6.82,
0.48,6.922,
0.5,7.023,
0.5,7.125,
0.48,7.227,
0.47,7.328,
0.48,7.43,
0.51,7.532,
0.54,7.633,
0.56,7.736,
0.59,7.837,
0.61,7.939,
0.61,8.041,
0.59,8.142,
0.58,8.243,
0.57,8.346,
0.55,8.446,
0.55,8.549,
0.57,8.651,
0.59,8.751,
0.6,8.854,
0.61,8.955,
0.63,9.056,
0.65,9.159,
0.68,9.26,
0.68,9.362,
0.69,9.464,
0.66,9.565,
0.63,9.667,
0.61,9.769,
0.58,9.87,
0.59,9.972,
0.6,10.074,
0.62,10.175,
0.64,10.277,
0.67,10.378,
0.68,10.48,
0.69,10.582,
0.72,10.684,
0.75,10.785,
0.77,10.887,
0.8,10.989,
0.8,11.09,
0.77,11.192,
0.75,11.293,
0.78,11.395,
0.81,11.497,
0.85,11.598,
0.88,11.7,
0.9,11.802,
0.88,11.903,
0.85,12.005,
0.84,12.107,
0.86,12.208,
0.86,12.31,
0.86,12.412,
0.84,12.513,
0.87,12.615,
0.92,12.716,
0.92,12.818,
0.89,12.921,
0.9,13.021,
0.94,13.124,
1,13.226,
1.05,13.326,
1.1,13.428,
1.15,13.531,
1.19,13.631,
1.21,13.734,
1.23,13.836,
1.21,13.936,
1.18,14.038,
