BeginAnalysis,,
_AnalysisName," ""Run101620-1_Material X_Analysis 94623.mss""",
_MethodName," ""Method 123468_06-Peel Strength.msm""",
InitialSpeed,305,"  ""mm/min"""
DataRate,50,"  ""Hz"""
EndPoint,40,"  ""mm"""
GageLength,50,"  ""mm"""
PeelEndExt,40,"  ""mm"""
StartPoint,3,"  ""mm"""
BeginSample,,
AverageLoad,0.91,"  ""N"""
AvgNPeaks,2.23,"  ""N"""
PeakLoad,2.58,"  ""N"""
PeelEnd,402,"  """""
PeelStart,38,"  """""
BeginData,,
_Load, SlackExt,
N," ""mm""",
0,0,
1.94,32.176,
1.96,32.277,
1.96,32.378,
1.86,32.481,
1.74,32.582,
1.68,32.684,
1.62,32.786,
1.55,32.887,
1.48,32.989,
1.44,33.091,
1.45,33.192,
1.49,33.294,
1.51,33.396,
1.44,33.497,
1.32,33.599,
1.3,33.7,
1.33,33.802,
1.35,33.904,
1.32,34.005,
1.28,34.107,
1.21,34.209,
1.08,34.31,
0.93,34.412,
0.86,34.514,
0.79,34.615,
0.71,34.717,
0.68,34.819,
0.68,34.92,
0.65,35.022,
0.62,35.124,
0.63,35.225,
0.64,35.328,
0.66,35.429,
0.67,35.531,
0.68,35.632,
0.7,35.734,
0.71,35.835,
0.71,35.938,
0.69,36.038,
0.67,36.14,
0.67,36.243,
0.67,36.343,
0.68,36.446,
0.69,36.548,
0.69,36.648,
0.66,36.751,
0.6,36.852,
0.56,36.953,
0.56,37.056,
0.54,37.157,
0.51,37.259,
0.51,37.361,
0.52,37.462,
0.52,37.564,
0.53,37.666,
0.53,37.767,
0.52,37.869,
0.5,37.971,
0.5,38.072,
0.47,38.174,
0.44,38.276,
0.42,38.377,
0.39,38.479,
0.35,38.58,
0.34,38.682,
0.35,38.784,
0.35,38.885,
0.35,38.987,
0.36,39.089,
0.36,39.19,
0.33,39.292,
0.32,39.395,
0.31,39.495,
0.26,39.597,
0.25,39.699,
0.25,39.8,
0.26,39.902,
0.26,40.004,
0.27,40.105,
0.27,40.207,
0.28,40.309,
0.28,40.41,
0.28,40.513,
0.28,40.614,
0.29,40.716,
0.29,40.817,
0.29,40.919,
0.28,41.02,
0.27,41.123,
0.28,41.223,
0.28,41.326,
0.28,41.427,
0.28,41.528,
0.27,41.631,
0.27,41.732,
0.26,41.833,
0.26,41.936,
0.26,42.037,
0.26,42.139,
0.26,42.241,
0.27,42.342,
0.26,42.443,
0.27,42.546,
0.26,42.647,
0.23,42.749,
0.22,42.851,
0.22,42.952,
0.22,43.054,
0.22,43.156,
0.22,43.257,
0.22,43.359,
0.2,43.461,
0.15,43.562,
0.14,43.664,
0.14,43.765,
0.14,43.867,
0.15,43.969,
0.15,44.07,
0.15,44.172,
0.15,44.274,
0.15,44.375,
0.15,44.477,
0.16,44.579,
0.16,44.68,
0.13,44.782,
0.09,44.884,
0.06,44.985,
0.03,45.042,
0.03,45.042,
EndData,,
EndSample,,
BeginSample,,
AverageLoad,0.97,"  ""N"""
AvgNPeaks,2.48,"  ""N"""
PeakLoad,2.53,"  ""N"""
PeelEnd,402,"  """""
PeelStart,38,"  """""
BeginData,,
_Load, SlackExt,
N," ""mm""",
0,0.001,
0,0.001,
0,0.001,
0,0.001,
0,0,
0,0.003,
0,0.019,
0,0.049,
0.01,0.091,
0.05,0.149,
0.06,0.218,
0.03,0.298,
0.03,0.391,
0.03,0.495,
0.03,0.599,
0.02,0.7,
0.01,0.802,
0.01,0.904,
0.02,1.004,
0.02,1.107,
0.02,1.208,
0.02,1.309,
0.02,1.412,
0.02,1.513,
0.02,1.615,
0.03,1.717,
0.03,1.818,
0.03,1.92,
0.04,2.022,
0.04,2.123,
0.04,2.225,
0.05,2.327,
0.05,2.427,
0.05,2.53,
0.06,2.631,
0.07,2.733,
0.07,2.835,
0.08,2.937,
0.09,3.038,
0.1,3.14,
0.12,3.241,
0.13,3.343,
